Shiny Pokemon,Amount,Whose Account
Rayquaza,5,Kyue55
Shellder,1,Kyue55
Suicune,1,Kyue55
Nidoqueen,1,Kyue55
Poliwag,1,Kyue55
Geodude(Alolan),1,Kyue55
Golem(Alolan),1,Kyue55
Seel,1,Kyue55
Pinsir,2,Kyue55
Eevee,1,Kyue55
Sneasel,1,Kyue55
Raikou,2,Kyue55
Entei,1,Kyue55
Treecko,1,Kyue55
Sceptile,1,Kyue55
Mudkip,10,Kyue55
Swampert,1,Kyue55
Linoone,1,Kyue55
Lotad,1,Kyue55
Ralts,5,Kyue55
Gardevoir,1,Kyue55
Slaking,1,Kyue55
Hariyama,1,Kyue55
Roselia,1,Kyue55
Wailord,1,Kyue55
Swablu,1,Kyue55
Altaria,1,Kyue55
Banette,1,Kyue55
Kyogre,1,Kyue55
Ambipom,1,Kyue55
Mismagius,1,Kyue55
Gallade,1,Kyue55
Horsea,1,Kyue55
